ID,target,tissue,gene,Brown_observed,max_method_contr,max_method_id,Pre-filter q-value,Post-filter q-value,Mutations,Patients mutated,Mappability,AID,UV,APOBEC,Palindrome,More than two mutations,More than two patients mutated,Manual review,Overlap,Final filter judgement,Expression_p-value,Expression_Fold Difference,Mutated patients w. expression data,Wild-type patients with expression data
gc19_pc.cds::gencode::TP53::ENSG00000141510.11,CDS,meta_Carcinoma,TP53,9.96E-33,4.67E-01,Fisher_observed,4.22E-27,4.22E-27,771,742,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.000926478,0.858634084,384,515
gc19_pc.cds::gencode::VHL::ENSG00000134086.7,CDS,meta_Carcinoma,VHL,7.17E-33,4.67E-01,Fisher_observed,4.22E-27,4.22E-27,86,83,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.11E-05,0.824560499,66,833
gc19_pc.cds::gencode::TP53::ENSG00000141510.11,CDS,meta_Adenocarcinoma,TP53,2.94E-32,4.67E-01,Fisher_observed,6.22E-27,6.22E-27,681,661,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.94E-05,0.794311798,315,454
gc19_pc.cds::gencode::VHL::ENSG00000134086.7,CDS,meta_Adenocarcinoma,VHL,2.24E-32,4.67E-01,Fisher_observed,6.22E-27,6.22E-27,85,82,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9.11E-06,0.824560499,66,703
gc19_pc.cds::gencode::TP53::ENSG00000141510.11,CDS,meta_Digestive_tract,TP53,3.93E-32,4.67E-01,Fisher_observed,6.66E-27,6.66E-27,408,396,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.000228028,0.765324155,127,153
gc19_pc.cds::gencode::PIK3CA::ENSG00000121879.3,CDS,meta_Carcinoma,PIK3CA,7.22E-32,4.66E-01,Fisher_observed,1.02E-26,1.02E-26,191,161,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.841984162,1.037139948,105,794
gc19_pc.cds::gencode::CTNNB1::ENSG00000168036.12,CDS,meta_Carcinoma,CTNNB1,1.60E-31,4.66E-01,Fisher_observed,1.50E-26,1.50E-26,137,119,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.676655893,1.065667866,44,855
gc19_pc.cds::gencode::KRAS::ENSG00000133703.7,CDS,meta_Carcinoma,KRAS,1.50E-31,4.66E-01,Fisher_observed,1.50E-26,1.50E-26,268,266,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2.93E-17,1.563357751,118,781
gc19_pc.cds::gencode::SMAD4::ENSG00000141646.9,CDS,meta_Digestive_tract,SMAD4,1.31E-31,4.67E-01,Fisher_observed,1.50E-26,1.50E-26,100,90,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.28610067,0.923737867,35,245
gc19_pc.cds::gencode::SMAD4::ENSG00000141646.9,CDS,meta_Adenocarcinoma,SMAD4,2.28E-31,4.66E-01,Fisher_observed,1.66E-26,1.66E-26,109,98,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.187885122,0.907345607,41,728
gc19_pc.cds::gencode::PTEN::ENSG00000171862.5,CDS,meta_Carcinoma,PTEN,2.35E-31,4.66E-01,Fisher_observed,1.66E-26,1.66E-26,88,71,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.752431875,0.937447917,36,863
