donor_unique_id	submitter_donor_id	dcc_project_code	library_strategy	workflow	aliquot_id	icgc_sample_id	icgc_specimen_id	dcc_specimen_type	gnos_id	gnos_repo	exist_bai_file
BLCA-US::096b4f32-10c1-4737-a0dd-cae04c54ee33	096b4f32-10c1-4737-a0dd-cae04c54ee33	BLCA-US	RNA-Seq	tophat	22e154de-0e3b-443b-8420-48d68d6c1ce4	SA5213	SP1677	Primary tumour - solid tissue	81438f7c-ee87-44a7-acd1-562ec8f386f0	https://gtrepo-osdc-tcga.annailabs.com/|https://cghub.ucsc.edu/	True
BLCA-US::096b4f32-10c1-4737-a0dd-cae04c54ee33	096b4f32-10c1-4737-a0dd-cae04c54ee33	BLCA-US	RNA-Seq	star	22e154de-0e3b-443b-8420-48d68d6c1ce4	SA5213	SP1677	Primary tumour - solid tissue	a63c9c0a-c8aa-44dc-8915-08f55109a5c9	https://gtrepo-osdc-tcga.annailabs.com/|https://cghub.ucsc.edu/	True
BLCA-US::178b28cd-99c3-48dc-8d09-1ef71b4cee80	178b28cd-99c3-48dc-8d09-1ef71b4cee80	BLCA-US	RNA-Seq	tophat	f154cc00-e118-4d4c-b9d2-2f1f71e0a964	SA1580	SP1132	Primary tumour - solid tissue	4a81f567-fb9b-4561-b2b7-c099c206a2ce	https://gtrepo-osdc-tcga.annailabs.com/|https://cghub.ucsc.edu/	True
BLCA-US::178b28cd-99c3-48dc-8d09-1ef71b4cee80	178b28cd-99c3-48dc-8d09-1ef71b4cee80	BLCA-US	RNA-Seq	star	f154cc00-e118-4d4c-b9d2-2f1f71e0a964	SA1580	SP1132	Primary tumour - solid tissue	2c4bd7a6-721a-4cd1-aa40-90cecb01c32c	https://gtrepo-osdc-tcga.annailabs.com/|https://cghub.ucsc.edu/	True
BLCA-US::1e308b12-0590-4dae-94d0-a539fcf25df7	1e308b12-0590-4dae-94d0-a539fcf25df7	BLCA-US	RNA-Seq	tophat	429f0e9d-c160-4b36-a31b-dab1097c6129	SA3760	SP967	Primary tumour - solid tissue	4c45ff2a-309f-4167-936e-e5b894ce6b79	https://gtrepo-osdc-tcga.annailabs.com/|https://cghub.ucsc.edu/	True
BLCA-US::1e308b12-0590-4dae-94d0-a539fcf25df7	1e308b12-0590-4dae-94d0-a539fcf25df7	BLCA-US	RNA-Seq	star	429f0e9d-c160-4b36-a31b-dab1097c6129	SA3760	SP967	Primary tumour - solid tissue	5e5f155b-0c8c-4917-b47c-606fda32b0e8	https://gtrepo-osdc-tcga.annailabs.com/|https://cghub.ucsc.edu/	True
BLCA-US::24f21425-b001-4986-aedf-5b4dd851c6ad	24f21425-b001-4986-aedf-5b4dd851c6ad	BLCA-US	RNA-Seq	tophat	80cdd385-2a6a-4d59-81c7-f36786637323	SA3745	SP1419	Primary tumour - solid tissue	90f6db49-d0e0-4b2b-b859-01fe4b90faaa	https://gtrepo-osdc-tcga.annailabs.com/|https://cghub.ucsc.edu/	True
BLCA-US::24f21425-b001-4986-aedf-5b4dd851c6ad	24f21425-b001-4986-aedf-5b4dd851c6ad	BLCA-US	RNA-Seq	star	80cdd385-2a6a-4d59-81c7-f36786637323	SA3745	SP1419	Primary tumour - solid tissue	527cc5b2-8716-44ae-9d63-8f16c4857184	https://gtrepo-osdc-tcga.annailabs.com/|https://cghub.ucsc.edu/	True
BLCA-US::3ed614e7-f356-4d87-985b-d3bbbae3bb40	3ed614e7-f356-4d87-985b-d3bbbae3bb40	BLCA-US	RNA-Seq	tophat	94447759-c20c-49f5-b51f-cbfdea41f2e8	SA4036	SP975	Primary tumour - solid tissue	eddbd2d6-583b-4c3c-a392-37aa6fcf19fc	https://gtrepo-osdc-tcga.annailabs.com/|https://cghub.ucsc.edu/	True
BLCA-US::3ed614e7-f356-4d87-985b-d3bbbae3bb40	3ed614e7-f356-4d87-985b-d3bbbae3bb40	BLCA-US	RNA-Seq	star	94447759-c20c-49f5-b51f-cbfdea41f2e8	SA4036	SP975	Primary tumour - solid tissue	6d085c7c-7658-4055-b8a3-3ae2204267b5	https://gtrepo-osdc-tcga.annailabs.com/|https://cghub.ucsc.edu/	True
BLCA-US::419deaac-ea45-4bdd-9fa0-b5cd8429b44f	419deaac-ea45-4bdd-9fa0-b5cd8429b44f	BLCA-US	RNA-Seq	tophat	ca10d08d-3cc5-4171-9a70-66fdff3c0c3d	SA3823	SP1431	Primary tumour - solid tissue	4a023785-fdb1-494b-90c1-4714f35389a1	https://gtrepo-osdc-tcga.annailabs.com/|https://cghub.ucsc.edu/	True
BLCA-US::419deaac-ea45-4bdd-9fa0-b5cd8429b44f	419deaac-ea45-4bdd-9fa0-b5cd8429b44f	BLCA-US	RNA-Seq	star	ca10d08d-3cc5-4171-9a70-66fdff3c0c3d	SA3823	SP1431	Primary tumour - solid tissue	bafacb45-089b-4267-b96c-b7fe20190485	https://gtrepo-osdc-tcga.annailabs.com/|https://cghub.ucsc.edu/	True
BLCA-US::419deaac-ea45-4bdd-9fa0-b5cd8429b44f	419deaac-ea45-4bdd-9fa0-b5cd8429b44f	BLCA-US	RNA-Seq	tophat	da9b7c51-c544-4ead-93c9-39b334b6bef2	SA3859	SP1437	Normal - tissue adjacent to primary	3baeb66d-0d89-47af-8d75-6461b2c98454	https://gtrepo-osdc-tcga.annailabs.com/|https://cghub.ucsc.edu/	True
BLCA-US::419deaac-ea45-4bdd-9fa0-b5cd8429b44f	419deaac-ea45-4bdd-9fa0-b5cd8429b44f	BLCA-US	RNA-Seq	star	da9b7c51-c544-4ead-93c9-39b334b6bef2	SA3859	SP1437	Normal - tissue adjacent to primary	5c820041-6020-4474-a991-87ef628012b5	https://gtrepo-osdc-tcga.annailabs.com/|https://cghub.ucsc.edu/	True
BLCA-US::493a4ff2-37a5-4b79-928d-83dbfe534556	493a4ff2-37a5-4b79-928d-83dbfe534556	BLCA-US	RNA-Seq	tophat	b9f76fc8-ca33-46c5-89a0-ae16d42f987f	SA4684	SP1009	Primary tumour - solid tissue	d7c27c62-58d0-4104-9520-3efcae49f74c	https://gtrepo-osdc-tcga.annailabs.com/|https://cghub.ucsc.edu/	True
BLCA-US::493a4ff2-37a5-4b79-928d-83dbfe534556	493a4ff2-37a5-4b79-928d-83dbfe534556	BLCA-US	RNA-Seq	star	b9f76fc8-ca33-46c5-89a0-ae16d42f987f	SA4684	SP1009	Primary tumour - solid tissue	b4fa57f4-87ab-4b4f-9d4d-2ea052ccba91	https://gtrepo-osdc-tcga.annailabs.com/|https://cghub.ucsc.edu/	True
BLCA-US::556fcbc8-172a-4af1-8822-ae036e8d68e8	556fcbc8-172a-4af1-8822-ae036e8d68e8	BLCA-US	RNA-Seq	tophat	3c499f07-67e2-4032-a0b5-b9edd90035f7	SA700	SP1086	Primary tumour - solid tissue	7b166b77-5c29-4a92-a096-993b3440917b	https://gtrepo-osdc-tcga.annailabs.com/|https://cghub.ucsc.edu/	True
