Biliary-AdenoCA	Biliary-AdenoCa
Bladder-TCC	Bladder-TCC
Bone-Benign	NA
Bone-Cart	Bone-Cart
Bone-Epith	Bone-Epith
Bone-Osteosarc	Bone-Osteosarc
Breast-AdenoCA	Breast-AdenoCa
Breast-DCIS	Breast-DCIS
Breast-LobularCA	Breast-LobularCa
CNS-GBM	CNS-GBM
CNS-Medullo	CNS-Medullo
CNS-Oligo	CNS-Oligo
CNS-PiloAstro	CNS-PiloAstro
Cervix-AdenoCA	Cervix-AdenoCa
Cervix-SCC	Cervix-SCC
ColoRect-AdenoCA	ColoRect-AdenoCa
Eso-AdenoCA	Eso-AdenoCa
Head-SCC	Head-SCC
Kidney-ChRCC	Kidney-ChRCC
Kidney-RCC	Kidney-RCC
Liver-HCC	Liver-HCC
Lung-AdenoCA	Lung-AdenoCa
Lung-SCC	Lung-SCC
Lymph-BNHL	Lymph-BNHL
Lymph-CLL	Lymph-CLL
Myeloid-AML	Myeloid-AML
Myeloid-MDS	Myeloid-MDS
Myeloid-MPN	Myeloid-MPN
Ovary-AdenoCA	Ovary-AdenoCa
Panc-AdenoCA	Panc-AdenoCa
Panc-Endocrine	Panc-Endocrine
Prost-AdenoCA	Prost-AdenoCa
Skin-Melanoma	Skin-Melanoma
SoftTissue-Leiomyo	Bone-Leiomyo
SoftTissue-Liposarc	NA
Stomach-AdenoCA	Stomach-AdenoCa
Thy-AdenoCA	Thy-AdenoCa
Uterus-AdenoCA	Uterus-AdenoCa
